timestamp,vehicle_id,session_id,lat,lon,heading
1519990621975,WLQBNAL7EM14E3N,6bc6a660dfef4010ded079865f358e30,48.1167,11.5400,252
1519990625885,WLQBNAL7EM14E3N,6bc6a660dfef4010ded079865f358e30,48.1167,11.5397,291
1519990629975,WLQBNAL7EM14E3N,6bc6a660dfef4010ded079865f358e30,48.1168,11.5394,291
1519990870975,WLQBNAL7EM14E3N,6bc6a660dfef4010ded079865f358e30,48.1167,11.5400,222
1519990873975,WLQBNAL7EM14E3N,6bc6a660dfef4010ded079865f358e30,48.1167,11.5399,292
1519991001975,WLQBNAL7EM14E3N,6bc6a660dfef4010ded079865f358e30,48.1183,11.5398,90
1519991006975,WLQBNAL7EM14E3N,6bc6a660dfef4010ded079865f358e30,48.1183,11.5404,90
1520106405654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1490,11.5508,106
1520106409654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1488,11.5515,107
1520106414654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1487,11.5522,107
1520106419654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1486,11.5528,107
1520106423206,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1485,11.5530,195
1520106426654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1483,11.5528,217
1520106431654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1480,11.5525,217
1520106436654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1477,11.5521,217
1520106441515,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1474,11.5517,228
1520106445654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1471,11.5512,228
1520106449654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1468,11.5507,230
1520106454654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1464,11.5500,230
1520106489654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1457,11.5505,110
1520106493654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1455,11.5512,115
1520106498654,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1452,11.5520,115
1520106503194,IRVQ5IQLEQKY7LR,ef0f515c3b19e177fb67a5b51b736d71,48.1450,11.5527,115
1520283676321,E0Y3RIF5HMCU2FL,d081204be8e7f89efe9267057c6ec0d8,48.1774,11.5939,212
1520283679321,E0Y3RIF5HMCU2FL,d081204be8e7f89efe9267057c6ec0d8,48.1772,11.5937,245
1520283681321,E0Y3RIF5HMCU2FL,d081204be8e7f89efe9267057c6ec0d8,48.1772,11.5935,303
